식당명,분류명,별점,리뷰 수,긍정 리뷰 수,부정 리뷰 수,블로그 리뷰 수,웹페이지 주소,이미지 주소,도로명 주소,지번 주소,전화번호,x,y,메뉴,리뷰,리뷰 감정,분류명 토큰화,메뉴 토큰화,리뷰 토큰화
경복궁블랙 오크우드점,음식점 > 한식 > 한정식 > 경복궁,4.0,4,0,0,13,http://place.map.kakao.com/1058687312,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7895D319A03A470FBAC40AE88FF94191,서울 강남구 테헤란로87길 46,서울 강남구 삼성동 159,02-3466-8383,127.058109476223,37.5110381267072,"['런치양념갈비한정식', '런치숯불갈비살한정식', '양념갈비코스', '한우생등심코스', '주말생갈비세트']",[],[],한식 한정식 경복궁,양념갈비코스 코스 숯불 갈비 등심 런치 양념 한정식 주말 한우 런치숯불갈비살한정식 런치양념갈비한정식 갈비살 세트,
동경규동 삼성점,음식점 > 퓨전요리 > 퓨전일식,4.0,4,0,0,14,http://place.map.kakao.com/982133156,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0DDE2290B4D04D7798F7AB3CE94B2A4B,서울 강남구 테헤란로83길 15,서울 강남구 삼성동 157-16,02-567-3880,127.057148326937,37.5084040584109,"['야끼우동', '김치규동', '김치가츠동', '얼큰우동', '니꾸우동']",[],[],퓨전요리 퓨전일식,얼큰우동 니 규동 김치가츠동 가츠동 우동 끼우동 얼 김치규동 김치,
사계절,"음식점 > 한식 > 해물,생선",4.0,4,0,0,36,http://place.map.kakao.com/379898334,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBFB88DE3C12E4A73BF586A4718B66693,서울 강남구 테헤란로107길 6,서울 강남구 삼성동 170-7,02-561-3888,127.065605455145,37.5102341093537,"['삼치사시미(대)', '삼치사시미(소)', '병어조림', '문어숙회', '병어사시미', '민어사시미', '전어사시미']",[],[],한식 해물 생선,삼치 조림 삼치사시미소 숙회 병어사시미 삼치사시미대 문어숙회 사시 전어 민어사시미 민어 사시미대 미소 병어 사시미 병어조림 문어,
원죽 삼성점,음식점 > 한식 > 죽,4.0,4,0,0,0,http://place.map.kakao.com/16820419,,서울 강남구 영동대로112길 9,서울 강남구 삼성동 106-8,02-543-8266,127.060945037516,37.5151957321229,"['전복특', '녹두전복죽', '잣죽', '호박죽', '검은깨죽', '팥죽', '녹두죽', '황태콩나물죽', '야채두부죽', '연어부추죽', '야채죽', '참치야채죽', '쇠고기버섯죽', '쇠고기두부죽', '해물죽', '새우꽃게죽', '인삼닭죽', '낙지밥숙', '김치밥숙', '전복죽']",[],[],한식 죽,검은깨죽 콩나물 새우 인삼 꽃게 김치 버섯 부추 닭죽 야채 전복죽 연어 팥죽 전복특 깨죽 밥숙 낙지 잣죽 쇠고기 녹두죽 녹두 참치 녹두전복죽 황태 호박죽 두부 해물 전복,
이곧,음식점 > 한식,4.0,4,0,0,12,http://place.map.kakao.com/1834938950,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBCB710A30B2C4B11B06536D73EBE3C66,서울 강남구 선릉로122길 8,서울 강남구 삼성동 9-12,02-512-5295,127.04282295589763,37.51463155507109,['통영오마카세'],[],[],한식,통영 통영오마카세 오마카,
타다이마,음식점 > 술집 > 일본식주점,4.0,4,0,0,10,http://place.map.kakao.com/1264826197,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC9D26DE274684589B7788AD6E241FA84,서울 강남구 삼성로 546,서울 강남구 삼성동 151-2,02-539-6933,127.05509584972,37.5103908476643,[],[],[],술집 일본식주점,,
티엔티엔티엔,음식점 > 중식 > 중화요리,4.0,4,0,0,2,http://place.map.kakao.com/8117380,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9D4C7A87C94B4A2EB47DD2DAAA715568,서울 강남구 테헤란로77길 22,서울 강남구 삼성동 129-20,02-3453-3648,127.054315967285,37.5080197647135,"['짜장면', '사천탕면', '삼선짬뽕', '삼선짜장면', '티엔티엔면', '삼선우동', '비취냉면', '굴짬뽕', '일품해파리냉채+유산슬+깐풍기+오이소주 또는 맥주', '왕새우탕면', '우육탕면', '특볶음면', '북어짬뽕', '해물잡탕밥', '유산슬덮밥', '마파두부덮밥', '삼선볶음밥', '게살새우볶음밥', '잡채밥', '볶음밥']",[],[],중식 중화요리,볶음밥 해물잡탕밥 우육 유산슬덮밥 잡채 새우 사천탕 슬덮 유산 북어 비취 일품해파리냉채유산슬깐풍기오이소주 마파두부덮밥 삼선짬뽕 두부덮밥 우동 냉면 삼선 왕새우탕 삼선짜장 짬뽕 일품 오이 우육탕 티엔티엔 굴짬뽕 마파 짜장면 소주 냉채 깐풍기 삼선우동 왕새우 북어짬뽕 잡탕 티엔 해물 비취냉면 삼선볶음밥 게살 해파리 맥주 특볶음,
광수사,음식점 > 일식 > 일식집,4.1,8,3,1,5,http://place.map.kakao.com/8195074,,서울 강남구 테헤란로77길 22,서울 강남구 삼성동 129-20,02-558-1724,127.0543159721816,37.508026522247164,"['점심정식', '생선초밥', '생선초밥 (특)', '민어탕', '민어탕 (특)', '영광보리굴비', '영광보리굴비 (특)', '간장게장정식', '간장게장정식 (특)', '(특) 민어초밥', '(특) 민어탕', '(특) 민어회덮밥', '(특) 생선초밥', '(특) 영광 보리굴비', 'B정식', 'C정식', '간장게장 정식', '간장게장 포장판매 (1kg)', '간장게장 포장판매 (2kg)', '간장게장 포장판매 (3kg)']","['생선회의 품질이 다릅니다. 다양한 메뉴를 오케이 할때까지 제공해 주시니  너무 좋습니다.', '다른집인가? 자주갔는데 와 양과 질이 확 달라짐 나이드신 사장님이 없어서 그런가 활어회가 아니라 냉동회인거 주고 매운탕이 아니라 미역국이 나오네 서비스도 없고 팁도 줬는데 후식이 매실차한잔 주네 가격이 싼게 아닌데 너무하네 너무 실망 상견례를 괜히 여기서 했네', '가격값을 하는곳이네요', '생활의 달인님이 나온 광수사, 음식맛도 좋았지만 장인정신이 느껴지는 곳입니다 :)']","['positive', 'negative', 'positive', 'positive']",일식 일식집,간장게장 굴비 회덮밥 어탕 1kg 3kg 생선초밥 정식 생선 영광 점심정식 포장 점심 초밥 보리 판매 2kg 특 영광보리굴비 민어탕 민어,생선회 품질 다르다 다양하다 메뉴 오케이 하다 때 제공 하다 주시 너무 좋다 집 자주 가다 오다 양 질 확 달라짐 나이 들다 사장 없다 런가 활어회 아니다 냉동 회 주다 매운탕 아니다 미역국 나오다 서비스 없다 팁 주다 후식 매실 차 한잔 주네 가격 싸다 아니다 너무하다 너무 실망 상견례 괜히 여기 하다 가격 값 하다 곳 요 생활 달인 나오다 광 수사 음식 맛 좋다 장인정신 느껴지다 곳 이다
소노야 강남구청점,"음식점 > 일식 > 돈까스,우동 > 소노야",3.6,7,3,0,14,http://place.map.kakao.com/13640711,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F418C1F96DB76463192246E6BBF0F1B9C,서울 강남구 선릉로 660,서울 강남구 삼성동 8-2,02-515-5136,127.042399355505,37.5156363270649,"['해물우동', '냄비돈까스']","['날치알밥,돈까스,우동 셋트를 먹었습니다!  이 비쥬얼에 8,500원! 가성비 대박이며 맛도 있습니다! 재방문 의사 1,000% ', '3.5점인데 0.5 안돼서 4점 김치가츠나베가 먹고싶어서 갔는데 냄비돈까스가 제일 비슷할것 같아서 시켰음 그냥 무난한 맛인데 돈가츠보다 우동이 더 많은듯 양파 많이 넣어서 달달한 편이고 매운맛은 조금 있음. 특이점은 뒷맛이 엄청 깔끔함.', '작년에 자주갔었는데 맛있고 좋았어용', '보통이에요']","['positive', 'positive', 'positive', 'neutral']",일식 돈까스 우동 소노야,해물우동 냄비돈까스 우동 돈까스 냄비 해물,날치 알밥 돈까스 우동 셋트 먹다 이 비쥬 얼 가성 비 대박 맛 있다 재 방문 의사 점 돼다 점 김치 츠 베가 먹다 가다 냄비 돈까스 제일 비슷하다 같다 시키다 그냥 무난 맛 돈가츠 우동 더 많다 양파 많이 넣다 달달 편이 맵다 맛 조금 있다 특이점 뒷맛 엄청 깔끔하다 작년 자주 가다 맛있다 좋다 보통
신차이 현대백화점무역센터점,음식점 > 중식 > 중화요리,3.8,5,0,0,4,http://place.map.kakao.com/1654913818,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F595280FB827C44268606F9A062987F37,서울 강남구 테헤란로 517,서울 강남구 삼성동 159-7,,127.059718161966,37.508593800164,"['유니짜장면(단품)', '짬뽕(단품)', '볶음밥(단품)', '탕수육(소)', '찹쌀탕수육(소)']",[],[],중식 중화요리,찹쌀탕수육소 볶음밥 짬뽕 유니짜장 단품 찹쌀 탕수육 짬뽕단품 탕수육소 볶음밥단품,
청춘포차,음식점 > 술집 > 실내포장마차,3.8,5,0,0,4,http://place.map.kakao.com/24002063,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4B2DE983210B439DBB42963BFB07B098,서울 강남구 봉은사로57길 8,서울 강남구 삼성동 38,02-3416-0887,127.045360375241,37.5114293404575,"['메생이탕', '조개 한가득', '닭도리탕', '동태탕', '대합탕', '홍합탕', '조개탕', '알탕', '돼지김치찌개', '꽁치소세지찌개', '번데기탕', '계란탕', '왕새우(대하)회', '왕새우(대하)구이', '전어회', '전어구이', '해물파전', '묵사발', '스팸&후라이', '전통계란말이']",[],[],술집 실내포장마차,전어회 돼지 메생 대하 계란말이 계란 조개탕 해물파전 전통계란말이 대합탕 탕 닭도리탕 번데기 구이 조개 소세지 동태탕 사발 꽁치 전통 홍합 왕새우 돼지김치찌개 알탕 찌개 라이 동태 전어구이 대합 스팸 김치찌개 후라이 홍합탕,
켄마,"음식점 > 한식 > 육류,고기",3.9,15,7,2,8,http://place.map.kakao.com/18590053,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFF369011B38F438C958B4BA6B76C7EC6,서울 강남구 삼성로108길 18,서울 강남구 삼성동 149-2,010-6425-7890,127.055707847473,37.5120448045159,"['안심 (150g)', '양갈비 프렌치랙 (220g)', '양등심 (200g)', '양갈비 숄더랙 (220g)', '게등딱지장']","['맛도 너무 좋고 사장님과 직원분들이 너무 친절해요~ 고기는 물론이고 나베도 정말 맛있더라구요 잘 먹고 갑니다~', '서비스 굳! 맛 굳! 아주 맛저 하고갔읍니다 ^^', '그냥 그래요  맥주도 삐싸고 쏘쏘', '별로임 양고기매니아인데 양내나고 그닥 맛도 없고 사장이 특히 불친절하고 손님을 불편하게 함 완전 비추', '친구 생일파티로 갔는데 고기도 적당히 익게 맛있게 구워주시고 개인접시에놔주셔서 기분좋게 잘 먹었어요 잔도 깨끗해서 콜키지로 샴페인 가져간 친구도 만족도가 높았네요 삼성동 양갈비집중에서는 제일 자주 갈것같아요', '양고기는 가격에 비해 특별할 것 없는 맛. 오뎅나베는 꽤 맛있습니다. 그리고 고기 구워주시는 여자분 상당히 불친절하고 정색하셔서 다시는 안갈것 같네요. 내돈내고 고기먹다 혼나는 기분 ㅋ 나머지 직워분들은 친절하셨습니다.', '엄청 맛있고 친절하게 다 구워주셔서 좋아요', '맛있어요', '양갈비 처음먹어보는데 맛있네요~~~^^']","['positive', 'positive', 'negative', 'negative', 'positive', 'positive', 'positive', 'positive', 'positive']",한식 육류 고기,딱지장 양갈비 프렌치 150g 프렌치랙 안심 200g 숄더랙 게등 220g 양등심,맛 너무 좋다 사장 직원 너무 친절하다 고기 물론 나 베다 정말 맛있다 자다 먹다 가다 서비스 굳다 맛 굳다 아주 맛저 하다 가다 읍니 그냥 그렇다 맥주 삐 싸다 쏘다 쏘다 별로 임 양고기 매니아 나 그닥 맛 없다 사장 특히 불친절하다 손님 불편하다 함 완전 비추다 친구 생일 파티 가다 고기 적당하다 익다 맛있다 굽다 개인 접시 놓다 기분 좋다 자다 먹다 잔 깨끗하다 콜키 지로 샴페인 가져가다 친구 만족도 높다 삼성동 갈비 집중 제일 자주 갈다 같다 양고기 가격 비다 특별하다 것 없다 맛 오뎅 베다 꽤 맛있다 고기 굽다 여자 상당하다 불친절하다 정색 하다 다시다 갈다 같다 돈 내다 고기 먹다 혼나다 기분 나머지 직워 친절하다 엄청 맛있다 친절하다 다 굽다 좋다 맛있다 갈비 처음 먹다 보다 맛있다
래빗파머스,음식점 > 샐러드,3.9,9,4,1,11,http://place.map.kakao.com/1777080139,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9D79D409A09C49C9A5748FFADAFEDD9F,서울 강남구 선릉로 660,서울 강남구 삼성동 8-2,070-7576-4966,127.04240484649613,37.51534530090097,"['그린', '닭가슴살', '구운새우', '구운목살', '구운버섯']","['우와 너무 맛있어요!! 버섯 짱!! 처음 먹어봤는데 종종 와야겠어요 양도 진짜 많이 줘요. ', '샌드위치 맛집이라 종종 주문해서 먹어요~ 샐러드로 시작했다가 어느새 샌드위치에 더 빠져든ㅎ 강남구청쪽 생활권역도 아닌데 어쩌다 한 번 그동네 갔다가 생각지도 못하게 래빗파머스가 있어서 래빗간판 보고 빵터졌네요 ㅋㅋㅋ 실물로 보게될 줄이야 ㅋㅋㅋㅋ 평소 불고기바질 샌드위치랑 리코타치즈샐러드를 주로 먹는데 샌드위치도 빵빵하고 샐러드도 신선해서 추천!', '하..진짜 ㅠ 여기는 맛은 있는데.. 항상 테이블이 더러워요 ㅠㅠ... 청소를 제대로 안함 ㅜ 포테이토샐러드 파는데가 여기밖에 근처에 없어서 종종 오는데 올때마다 항상 모든 테이블이 더러움.. 테이블에음식 하나두개씩 떨어져있거나 소스 묻어있거나 ㅜㅜ 테이블도 닦아 달라고 했더니 ""어디요?""하고 말한곳만 닦으려고 해서 전체적으로 다 너무 지저분해서 앉기가 힘...더보기', '맛있다....... 존맛....... 적게 일하고 많이 버세영', '샐러드랑 샌드위치 진짜 맛있네요,, 직접 빵이랑 만든다고 하던데 인생 샌드위치 샐러드는 신선하고 꿀맛 야채 이정도 퀄리티면 진짜 신선하게 잘하는듯']","['positive', 'positive', 'negative', 'positive', 'positive']",샐러드,버섯 구운버섯 그린 구운새우 구운 가슴 구운목살 새우 닭가슴살,너무 맛있다 버섯 짱 처음 먹다 보다 종종 오다 양도 진짜 많이 주다 샌드위치 맛집 종종 주문 하다 먹다 샐러드 시작 하다 어느새다 샌드위치 더 빠져들다 강남 구청 쪽 생활권 역도 아니다 어쩌다 하다 번 동네 가다 생각 지도 하다 래빗파머스 있다 래빗 간판 보고 빵터지다 실물 보다 되다 줄 평소 불고기 바질 샌드위치 리코 치즈 샐러드 주로 먹다 샌드위치 빵빵 샐러드 신선하다 추천 하진 짜다 여기다 맛 있다 항상 테이블 더럽다 청소 제대로 안함 포테이토 샐러드 팔다 여기 근처 없다 종종 오다 때 항상 모든 테이블 더러 움 테이블 음식 하나 개 떨어지다 소스 묻다 테이블 닦다 달라 하다 어디 요하 말 곳 닦다 하다 전체 다 너무 지저분하다 앉다 힘드다 보기 맛있다 존맛 적다 일 많이 버 세영 샐러드 샌드위치 진짜 맛있다 직접 빵 만들다 하다 인생 샌드위치 샐러드 신선하다 꿀맛 야채 이정 퀄리티 진짜 신선하다 하다
멍텅구리꼼장어막창 삼성동본점,"음식점 > 한식 > 해물,생선 > 장어",3.9,14,2,2,19,http://place.map.kakao.com/14921215,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2107F24E5478131F2C,서울 강남구 봉은사로 445,서울 강남구 삼성동 44-15,02-555-5733,127.04837154696142,37.51184350869618,"['쭈삼 (1인분)', '꼼삼 (1인분)', '양념꼼장어', '갈비살', '초벌삼겹살']","['냠냠 맛있어요!! 꼼장어 맛집 인정', '최악이다.. 가지를 마시길....', '연탄불에 꼼장어향......  좋아요', '너무 좋앜습니다:)']","['positive', 'negative', 'positive', 'negative']",한식 해물 생선 장어,양념꼼장어 삼겹살 꼼장어 인분 초벌삼겹살 양념 1인분 쭈삼 꼼삼 초벌 갈비살,냠냠 맛있다 꼼장어 맛집 인정 최악 가지 말다 연탄 불 꼼장어 향 좋다 너무 좋앜습니
무삥과 팟타이 삼성점,음식점 > 아시아음식 > 동남아음식 > 태국음식,4.0,8,3,1,18,http://place.map.kakao.com/821790187,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8EF367D56F354BEFA641CE7DBC0E32A9,서울 강남구 삼성로96길 26-12,서울 강남구 삼성동 158-6,02-6080-1568,127.058168492369,37.5083819363352,"['팟타이(오리지널)', '꿰이띠아오(사골)', '카오팟(돼지)', '팟까파오(돼지)', '텃만꿍(1접시)']","['뿌팟퐁 커리는 달콤 바삭 싱하 비어는 쌉사름 맛있고 ㅡ 동남아 음식 좋아하는 분들에게는 뷰티풀한 맛 ㅡ 아닌 분들에게도 문턱을 낮춰둔 맛집!', '오오 팟타이 맛있어요! 무엇보다 새우가 큰 게 2개나 들어가서 더 좋았어요!! 물가 비싼 삼성역에 팟타이 9,000원이라는 넘나 좋은 집이네요!!', '맛있었어요!! 푸파퐁커리와 팟타이세트를 저렴하고 맛나게 먹을 수 있어서 좋았어요!', '삼성동이라 그런지 낙성대역 대비 가격도 몇천원씩(!) 올랐나보네요 맛은 괜찮지만 ""가격대비"" 맛있다는거였는데ㅠ ㅠ 쌀국수 육수맛도 예전만 못한ㅠ  ']","['positive', 'positive', 'positive', 'negative']",아시아음식 동남아음식 태국음식,돼지 팟타이오리지널 이띠 오사골 파오 텃만꿍1접시 접시 꿰이띠 팟까파오돼지 오리지 팟타이 팟까 텃만꿍 카오팟돼,뿌팟퐁 커리 달콤 바삭 싱하 비어 싸다 사르다 맛있다 동남아 음식 좋아하다 분 뷰티풀 맛 아니다 분 문턱 낮추다 두다 맛집 팟타이 맛있다 무엇 새우 크다 게 개 들어가다 더 좋다 물가 비싸다 삼성역 팟타이 넘다 좋다 지다 맛있다 푸파 퐁 커리 팟타이 세트 저렴하다 맛 나다 먹다 수 있다 좋다 삼성동 그렇다 낙성대역 대비 가격 천원 오르다 보다 맛 괜찮다 가격 대비 맛있다 쌀국수 맛 예전 못
이대성의 진면목,음식점 > 한식,4.1,36,22,8,149,http://place.map.kakao.com/1198484281,https://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAEEB81087019422D8E0C26D8518D1F8F,서울 강남구 삼성로100길 23-3,서울 강남구 삼성동 153-64,02-569-7577,127.057149725493,37.5102385030662,"['닭도리탕', '아귀꽃찜', '등심칼국수', '복칼국수', '평양식만두']","['샤브샤브가 다 같은 건줄 알았는데 아니었습니다. 구성도 완벽 맛도 완벽', '소주 5,000원 맥주 6,000원', '와 여기 진짜 최고에요 아구찜 너무 맛있어서 우리집 옆으로 이 가게 옮기고 싶어요', '종로 삽니다..  우연히 알고 갔는데  정말 최고네요 평점 4.1점 이해 못하겠어요.  브레이크때 사장님이랑 직원분들 식사학대만 봐도 느낌니다.  사장님이 보살같긴한데....  사장님 왜 돈 안되는 곳에서 장사하시나요??? 체인을 하던.. 강북으로 넘어가세요..  사장님 바보임....', '아귀꽃찜 먹었습니다. 양 많고, 진짜 맛있게 잘먹었습니다. +볶음밥 미쳤어요 치즈 팍팍 재방문 의사 있을유', '가성비 좋고 반찬도 맛있는 편', '겨울날 점심 메뉴로 잘 골랐다고 칭찬받음 ㅋㅋ 아래 코멘트 보고 걱정했는데 생각보다 괜찮았음. 그러나 사람 엄청 몰릴땐 죽 만들어주시는 직원분이 5분동안 기다리게 하신게 좀 그랬음….. ', '직원 불친절하고  음식 평범  리뷰가 왜케 좋은지 의혹.', '닭도리탕 먹고 눈물흘림', '맛있어요^^', '너무나 혜자인 곳,, 맛있어요!!', '주방 직원 한 명이 마스크 착용 안함. 맛보느라 잠깐 벗은거 아니고 처음 발견했을때부터 식사 끝나고 나올 때까지 안 낀 상태로 대화도 하고 재료 손질도 함.', '맛있어요 삼성동에서 이 가격으로 샤브샤브!!!!! ', '저는 여기 괜찮아요 맛있게 잘먹고 가요 카카오맵 지도 저장하기 했습니다 ,', '깔끔하고 맛있는 샤브샤브 삼성동에서 점심에 이런 가격이라니', '가성비 굳', '깔끔하고 맛있지만 직원이 불친절해서 불편해요 ', '동네 물가 생각하면 가성비가 좋아요 둘이 먹어도 남길 수준', '일하시는 분들 너무 불친절해요 또 가고싶지않아요', '진짜 맛있어요... 자극적이지 않고 깔끔해서 남녀노소 가리지 않고 먹을 수 있어요 !!!! 9000원에 샤브샤브에다가 칼국수 죽까지 먹을 수 있는데 칼국수에 만두 두알도 포함이예요 코엑스 들릴 일있으면 여기 꼭..가주세요 부탁입니다', '우선 깔끔하고 양많고 맛있음. 이 동네에서 9000원에 이정도 구성이라니 대박적. 야채추가 3000원이길래 해봤더니 처음 나온 야채양 그대로 또 나와서 놀람ㅋㅋㅋㅋㅋ', '리뷰가 많은 이유가 있다 엄지척', '평소에 샤브샤브 좋아해서 진짜 자주 먹으러 다니는데 여기 육수도 깔끔하니 맛있고 야채나 고기 추가할 필요없이 넉넉히 너무 잘 챙겨주셔서 앞으로 샤브샤브먹으러 여기만 올듯. 가게도 깔끔하고 사장님의 자부심이 느껴짐!', '나의 최애', '이 가격에 맛,구성 실화?¿?', '가성비가내려와~~', '가성비도 가성비도 이런집이 없어요! 그 와중에 퀼리티도 갑이에요', '(아빠) 가성비 맘에 듬 (아이들) 샤브샤브 푸짐하게 먹을 수 있어 만족 (애엄마) 무슨 맛인지 잘 모르겠음', '아구찜은 아구양도 많이 아쉽고 전체적으로 달아요~ 샤브도 살짝 아쉽네요', '별생각 없이 갔는데 존망탱구리 ', '식당과 인테리어, 테이블 등 깔끔하고 청결한 편이다.  샤브샤브와 국수, 죽까지 먹으면 남자 기준으로도 배가 부른 양이고 음식도 깔끔하게 잘 나온다.  맛 역시 다른 샤브샤브 집에 비해 떨어지지 않고 좋으며 무엇보다 가격이 8천원이니 만족스러운, 모두에게 추천할 만한 식당이다. ', '깨끗하고 친절합니다. 음식은 당연히 맛있죠.  가성비도 좋습니다.^^', '8000원에 맛난 샤브샤브, 칼국수, 죽까지 다 먹을 수 있어요! ', '칼국수를 시키면 샤브샤브가 나와요']","['positive', 'neutral', 'positive', 'negative', 'positive', 'positive', 'positive', 'negative', 'negative', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'positive', 'negative', 'positive', 'negative', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'negative', 'positive', 'positive', 'negative', 'negative', 'positive', 'positive', 'positive', 'neutral']",한식,닭도리탕 복칼국수 아귀꽃찜 등심칼국수 평양식만두 꽃찜 등심 만두 아귀 평양식 칼국수,샤브샤브 다 같다 건줄 알다 아니다 구성 완벽 맛 완벽 소주 맥주 오다 여기 진짜 최고 아구찜 너무 맛있다 우리 집 옆 이 가게 옮기다 싶다 종로 사다 우연히 알 가다 정말 최고 평점 점 이해 하다 브레이크 때 사장 직원 식사 학대 보다 느끼다 사장 보살 같다 사장 왜 돈 안되다 곳 장사 하다 체인 하다 강북 넘어가다 사장 바보 임 아귀 꽃찜 먹다 양 많다 진짜 맛있다 먹다 볶음밥 미치다 치즈 팍팍 재 방문 의사 있다 을유 가성 비 좋다 반찬 맛있다 편 겨울 날 점심 메뉴 자다 고르다 칭찬 받다 아래 코멘트 보고 걱정 하다 생각 괜찮다 사람 엄청 몰리다 땐 죽 만들다 직원 기다리다 하다 좀 그렇다 직원 불친절하다 음식 평범 리뷰 왜 이렇게 좋다 의혹 닭도리탕 먹다 눈물 흘리다 맛있다 너무나 혜자 곳 맛있다 주방 직원 하다 명 마스크 착용 안함 맛보다 잠깐 벗다 아니다 처음 발견 하다 때 식사 끝나다 나오다 때 안 끼다 상태 대화 하다 재료 손질 함 맛있다 삼성동 이 가격 샤브샤브 저 여기 괜찮다 맛있다 먹다 가요 카카오 맵 지도 저장 하다 하다 깔끔하다 맛있다 샤브샤브 삼성동 점심 이렇다 가격 가성 비 굳다 깔끔하다 맛있다 직원 불친절하다 불편하다 동네 물가 생각 하다 가성 비 좋다 둘 먹다 남다 수준 일 하다 너무 불친절하다 또 가다 않다 진짜 맛있다 자극 않다 깔끔하다 남녀 노소 가리다 않다 먹다 수 있다 샤브샤브 칼국수 죽 먹다 수 있다 칼국수 만두 알도 포함 코엑스 들리다 이다 여기 꼭 줄다 부탁 이다 우선 깔끔하다 양 많다 맛있다 이 동네 이정 구성 대박 야채 추가 해봤다 처음 나오다 야채 그대로 또 나오다 놀람 리뷰 많다 이유 있다 엄지 척 평소 샤브샤브 좋아하다 진짜 자주 먹다 다니다 여기 육수 깔끔하다 맛있다 야채 고기 추가 하다 필요없다 넉넉하다 너무 자다 챙기다 앞 샤브샤브 먹다 여기 오다 가게 깔끔하다 사장 자부심 느껴지다 나 최애 이 가격 맛 구성 실화 가성 비 내려오다 가성 비도 가성 비도 집 없다 그 와중 퀼리티 갑 아빠 가성 비 맘 듬 아이 샤브샤브 푸다 지다 먹다 수 있다 만족 애 엄마 무슨 맛 자다 모르다 아구찜 아구 양도 많이 아쉽다 전체 달다 샤브 살짝 아쉽다 생각 없이 가다 존망 탱 구리 식당 인테리어 테이블 등 깔끔하다 청결하다 편이 샤브샤브 국수 죽 먹다 남자 기준 배 부르다 양 음식 깔끔하다 자다 나오다 맛 역시 다른 샤브샤브 집 비다 떨어지다 않다 좋다 무엇 가격 만족스럽다 모두 추천 하다 만 식당 깨끗하다 친절하다 음식 당연하다 맛있다 가성 비도 좋다 맛 샤브샤브 칼국수 죽 다 먹다 수 있다 칼국수 시키다 샤브샤브 나오다
